,groups,channels,windows,amplitudes
315,BSD,fz,win_2,3.172
316,BSD,fz,win_2,-9.129
317,BSD,fz,win_2,9.14
318,BSD,fz,win_2,1.87
319,BSD,fz,win_2,0.096
320,BSD,fz,win_2,-0.771
321,BSD,fz,win_2,-1.496
322,BSD,fz,win_2,4.308
323,BSD,fz,win_2,0.822
324,BSD,fz,win_2,0.302
325,BSD,fz,win_2,3.329
326,BSD,fz,win_2,5.511
327,BSD,fz,win_2,-5.511
328,BSD,fz,win_2,3.542
329,BSD,fz,win_2,-3.643
330,BSD,cz,win_2,2.049
331,BSD,cz,win_2,-8.161
332,BSD,cz,win_2,8.88
333,BSD,cz,win_2,-0.467
334,BSD,cz,win_2,0.633
335,BSD,cz,win_2,2.063
336,BSD,cz,win_2,-1.727
337,BSD,cz,win_2,2.858
338,BSD,cz,win_2,2.519
339,BSD,cz,win_2,1.865
340,BSD,cz,win_2,2.006
341,BSD,cz,win_2,3.654
342,BSD,cz,win_2,-2.021
343,BSD,cz,win_2,-0.311
344,BSD,cz,win_2,-0.788
345,BSD,pz,win_2,1.213
346,BSD,pz,win_2,-8.709
347,BSD,pz,win_2,1.174
348,BSD,pz,win_2,-4.732
349,BSD,pz,win_2,-0.814
350,BSD,pz,win_2,3.21
351,BSD,pz,win_2,-4.145
352,BSD,pz,win_2,3.231
353,BSD,pz,win_2,
354,BSD,pz,win_2,5.122
355,BSD,pz,win_2,1.222
356,BSD,pz,win_2,0.452
357,BSD,pz,win_2,0.352
358,BSD,pz,win_2,-0.37
359,BSD,pz,win_2,-0.372
360,BSD,fz,win_3,-2.172
361,BSD,fz,win_3,2.677
362,BSD,fz,win_3,12.422
363,BSD,fz,win_3,4.06
364,BSD,fz,win_3,0.173
365,BSD,fz,win_3,0.348
366,BSD,fz,win_3,4.788
367,BSD,fz,win_3,5.566
368,BSD,fz,win_3,4.293
369,BSD,fz,win_3,6.579
370,BSD,fz,win_3,6.429
371,BSD,fz,win_3,5.287
372,BSD,fz,win_3,3.706
373,BSD,fz,win_3,4.512
374,BSD,fz,win_3,2.023
375,BSD,cz,win_3,3.338
376,BSD,cz,win_3,0.628
377,BSD,cz,win_3,10.769
378,BSD,cz,win_3,-2.141
379,BSD,cz,win_3,1.139
380,BSD,cz,win_3,0.922
381,BSD,cz,win_3,4.199
382,BSD,cz,win_3,6.597
383,BSD,cz,win_3,4.491
384,BSD,cz,win_3,0.48
385,BSD,cz,win_3,4.784
386,BSD,cz,win_3,3.608
387,BSD,cz,win_3,3.555
388,BSD,cz,win_3,1.336
389,BSD,cz,win_3,0.645
390,BSD,pz,win_3,3.011
391,BSD,pz,win_3,-1.101
392,BSD,pz,win_3,3.281
393,BSD,pz,win_3,-4.402
394,BSD,pz,win_3,-1.465
395,BSD,pz,win_3,0.133
396,BSD,pz,win_3,-0.683
397,BSD,pz,win_3,5.578
398,BSD,pz,win_3,
399,BSD,pz,win_3,-1.36
400,BSD,pz,win_3,2.666
401,BSD,pz,win_3,4.168
402,BSD,pz,win_3,0.913
403,BSD,pz,win_3,-1.935
404,BSD,pz,win_3,1.082
